Category,Field,Question
Personal History,Early Childhood Memories,What is your earliest memory from childhood?
Personal History,Early Childhood Memories,Can you describe the home where you grew up in detail?
Personal History,Early Childhood Memories,Who were the most important adults in your early life besides your parents?
Personal History,Early Childhood Memories,What games did you play as a child?
Personal History,Early Childhood Memories,What was your relationship like with your siblings?
Personal History,Early Childhood Memories,What daily chores or responsibilities did you have growing up?
Personal History,Early Childhood Memories,What were holidays like in your childhood home?
Personal History,Early Childhood Memories,Did you have any pets growing up? What memories do you have of them?
Personal History,Early Childhood Memories,What was your neighborhood like when you were a child?
Personal History,Early Childhood Memories,What did you do for fun with friends when you were young?
Personal History,Early Childhood Memories,What were your favorite foods as a child?
Personal History,Early Childhood Memories,Were there any family stories or legends that were often told in your home?
Personal History,Early Childhood Memories,What clothing or fashion do you remember wearing as a child?
Personal History,Early Childhood Memories,What was a typical day like for you as a child?
