Category,Field,Question,Answer_Quality
Personal History,Early Childhood Memories,What is your earliest memory from childhood?,full answer
Personal History,Early Childhood Memories,Can you describe the home where you grew up in detail?,0
Personal History,Early Childhood Memories,Who were the most important adults in your early life besides your parents?,0
Personal History,Early Childhood Memories,What games did you play as a child?,partial answer
Personal History,Early Childhood Memories,What was your relationship like with your siblings?,0
Personal History,Early Childhood Memories,What daily chores or responsibilities did you have growing up?,0
Personal History,Early Childhood Memories,What were holidays like in your childhood home?,0
Personal History,Early Childhood Memories,Did you have any pets growing up? What memories do you have of them?,0
Personal History,Early Childhood Memories,What was your neighborhood like when you were a child?,partial answer
Personal History,Early Childhood Memories,What did you do for fun with friends when you were young?,partial answer
Personal History,Early Childhood Memories,What were your favorite foods as a child?,0
Personal History,Early Childhood Memories,Were there any family stories or legends that were often told in your home?,0
Personal History,Early Childhood Memories,What clothing or fashion do you remember wearing as a child?,0
Personal History,Early Childhood Memories,What was a typical day like for you as a child?,partial answer
